Column,Unique Count,Missing %,Top Category,Top Category Count,Top Category %,Top 5 Categories
FPA_ID,50881,0.0,2014CAIRS24109077,1,0.002,2014CAIRS24109077: 1; SFO-2018CACDFBDU811531: 1; SFO-2018CACDFTCU006483: 1; SFO-2018CACDFBEU002719: 1; SFO-2018CACDFRRU072060: 1
EVT_1km,41996,0.0,7299(29%) / 7914(23%) / 7297(22%),31,0.0609,7299(29%) / 7914(23%) / 7297(22%): 31; 9301(36%) / 7043(10%) / 7113(9%): 31; 7043(23%) / 7299(13%) / 7967(11%): 23; 7299(31%) / 7296(14%) / 7030(13%): 23; 7299(21%) / 9301(17%) / 7296(15%): 22
EVH_1km,40186,0.0,303(56%) / 118(20%) / 308(8%),31,0.0609,303(56%) / 118(20%) / 308(8%): 31; 25(29%) / 17(23%) / 23(22%): 31; 25(13%) / 303(10%) / 17(8%): 26; 25(31%) / 22(14%) / 14(6%): 23; 25(28%) / 22(16%) / 23(13%): 22
LOCAL_INCIDENT_ID,40010,8.9542,11,106,0.2083,11: 106; 10: 104; 002: 102; 003: 101; 004: 100
Land_Cover_1km,39929,0.0,52(100%),56,0.1101,52(100%): 56; 52(44%) / 42(27%) / 43(15%): 31; 42(99%) / 52(1%): 27; 42(97%) / 52(3%): 25; 82(95%) / 21(3%) / 22(2%): 24
EVC_1km,39786,0.0,355(51%) / 135(8%) / 325(8%),31,0.0609,355(51%) / 135(8%) / 325(8%): 31; 25(13%) / 17(8%) / 22(8%): 31; 25(29%) / 17(23%) / 23(22%): 31; 25(12%) / 22(8%) / 17(6%): 29; 25(31%) / 22(14%) / 14(6%): 23
MOD_NDVI_12m,38769,0.0,'0.77' '0.76' '0.73' '0.73' '0.73' '0.62' '0.71' '0.7' '0.74' '0.74' '0.73' '0.74',25,0.0491,'0.77' '0.76' '0.73' '0.73' '0.73' '0.62' '0.71' '0.7' '0.74' '0.74' '0.73' '0.74': 25; '0.77' '0.76' '0.73' '0.69' '0.74' '0.74' '0.75' '0.75' '0.74' '0.74' '0.76' '0.76': 23; '0.75' '0.77' '0.76' '0.73' '0.69' '0.74' '0.74' '0.75' '0.75' '0.74' '0.74' '0.76': 20; '0.75' '0.77' '0.76' '0.73' '0.73' '0.73' '0.62' '0.71' '0.7' '0.74' '0.74' '0.73': 19; '0.85' '0.85' '0.82' '0.82' '0.82' '0.81' '0.84' '0.86' '0.87' '0.73' '0.86' '0.86': 18
MOD_EVI_12m,38758,0.0,'0.49' '0.41' '0.39' '0.3' '0.3' '0.28' '0.29' '0.37' '0.39' '0.44' '0.45' '0.44',25,0.0491,'0.49' '0.41' '0.39' '0.3' '0.3' '0.28' '0.29' '0.37' '0.39' '0.44' '0.45' '0.44': 25; '0.45' '0.39' '0.32' '0.34' '0.3' '0.32' '0.36' '0.35' '0.45' '0.41' '0.43' '0.44': 23; '0.46' '0.45' '0.39' '0.32' '0.34' '0.3' '0.32' '0.36' '0.35' '0.45' '0.41' '0.43': 20; '0.52' '0.49' '0.41' '0.39' '0.3' '0.3' '0.28' '0.29' '0.37' '0.39' '0.44' '0.45': 19; '0.43' '0.48' '0.54' '0.54' '0.51' '0.45' '0.4' '0.39' '0.36' '0.25' '0.36' '0.41': 18
NDVI_mean,38691,0.0,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan',95,0.1867,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan': 95; '0.53' '0.55' '0.32' '0.33' '0.2' '0.12' '0.54' '0.54' '0.64' '0.46' '0.62' '0.69': 25; '0.55' '0.45' '0.42' '0.29' '0.51' '0.5' '0.41' '0.62' '0.5' '0.59' '0.67' '0.63': 23; '0.72' '0.55' '0.45' '0.42' '0.29' '0.51' '0.5' '0.41' '0.62' '0.5' '0.59' '0.67': 20; '0.67' '0.53' '0.55' '0.32' '0.33' '0.2' '0.12' '0.54' '0.54' '0.64' '0.46' '0.62': 19
NDVI_max,38691,0.0,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan',95,0.1867,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan': 95; '0.83' '0.87' '0.79' '0.78' '0.82' '0.8' '0.93' '0.76' '0.8' '0.87' '0.8' '0.8': 25; '0.83' '0.81' '0.87' '0.81' '0.93' '0.79' '0.84' '0.85' '0.85' '0.84' '0.84' '0.84': 23; '0.82' '0.83' '0.81' '0.87' '0.81' '0.93' '0.79' '0.84' '0.85' '0.85' '0.84' '0.84': 20; '0.8' '0.83' '0.87' '0.79' '0.78' '0.82' '0.8' '0.93' '0.76' '0.8' '0.87' '0.8': 19
NDVI_min,38690,0.0,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan',95,0.1867,'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan' 'nan': 95; '-0.0' '0.04' '-0.01' '-0.01' '-0.03' '-0.01' '0.01' '0.04' '0.02' '0.01' '-0.01' '-0.01': 25; '0.02' '0.01' '-0.0' '-0.03' '-0.01' '-0.04' '-0.04' '-0.0' '-0.01' '0.04' '-0.04' '0.04': 23; '0.05' '0.02' '0.01' '-0.0' '-0.03' '-0.01' '-0.04' '-0.04' '-0.0' '-0.01' '0.04' '-0.04': 20; '0.14' '-0.0' '0.04' '-0.01' '-0.01' '-0.03' '-0.01' '0.01' '0.04' '0.02' '0.01' '-0.01': 19
FRG_1km,24591,0.0,4(100%) / 3(0%),305,0.5994,4(100%) / 3(0%): 305; 4(100%): 281; 5(100%): 227; 4(99%) / 3(1%): 212; 4(99%) / 3(1%) / 1(0%): 140
FIRE_NAME,17712,30.3532,CREEK,150,0.2948,CREEK: 150; HIGHWAY: 122; RIVER: 114; OAK: 107; LAKE: 101
FIRE_CODE,7703,76.6966,EK1W,432,0.849,EK1W: 432; EK1S: 397; EK15: 336; EK10: 318; EK13: 310
DISCOVERY_DATE,2320,0.0,2015-07-30,160,0.3145,2015-07-30: 160; 2018-07-04: 156; 2017-07-04: 150; 2016-07-04: 139; 2018-07-15: 137
CONT_DATE,2142,40.2351,7/4/2015 0:00:00,94,0.1847,7/4/2015 0:00:00: 94; 7/20/2014 0:00:00: 84; 7/8/2015 0:00:00: 84; 7/25/2017 0:00:00: 84; 7/21/2014 0:00:00: 80
ICS_209_PLUS_INCIDENT_JOIN_ID,602,98.5279,2017_7238965_MODOC JULY COMPLEX,53,0.1042,2017_7238965_MODOC JULY COMPLEX: 53; 2017_7382007_ORLEANS COMPLEX: 22; 2015_2744562_RIVER COMPLEX: 13; 2017_7396234_ECLIPSE COMPLEX: 10; 2015_2753601_FORK COMPLEX: 10
MTBS_ID,289,99.4045,CA4064212358620150731,4,0.0079,CA4064212358620150731: 4; CA4179612337420140814: 4; CA4178612347520170812: 3; CA4091312343720150731: 2; CA3312011716020140514: 2
MTBS_FIRE_NAME,266,99.4045,ROUTE COMPLEX,4,0.0079,ROUTE COMPLEX: 4; HAPPY CAMP COMPLEX: 4; CREEK: 3; SAND: 3; RANCH: 3
COUNTY,177,9.0387,RIVERSIDE,4775,9.3846,RIVERSIDE: 4775; FRESNO: 3103; MERCED: 1966; MADERA: 1371; SAN BERNARDINO: 1349
Ecoregion_US_L4CODE,173,0.1336,85k,3583,7.0419,85k: 3583; 6b: 2836; 7p: 2134; 7n: 1855; 7a: 1684
SOURCE_REPORTING_UNIT_NAME,160,0.0,"Headquarters, California Department of Forestry & Fire Protection",29529,58.0354,"Headquarters, California Department of Forestry & Fire Protection: 29529; CDF - Riverside Unit: 960; CDF - Merced-Mariposa Unit: 888; Hoopa Valley Tribe: 865; California Desert District: 854"
SOURCE_REPORTING_UNIT,142,0.0,CACDF,29529,58.0354,CACDF: 29529; CARRU: 969; CAMMU: 891; CAHIA: 865; CACDD: 854
NWCG_REPORTING_UNIT_ID,122,0.0,USCACDF,21596,42.4441,USCACDF: 21596; USCARRU: 2088; USCAMMU: 1579; USCASCU: 1153; USCANEU: 1132
NWCG_REPORTING_UNIT_NAME,122,0.0,California Department of Forestry & Fire Protection,21596,42.4441,California Department of Forestry & Fire Protection: 21596; Riverside Unit: 2088; Merced-Mariposa Unit: 1579; Santa Clara Unit: 1153; Nevada-Yuba-Placer Unit: 1132
LatLong_County,66,0.0865,Riverside,5554,10.9157,Riverside: 5554; Fresno: 3467; San Bernardino: 2370; Merced: 2138; Los Angeles: 1912
FIPS_NAME,58,9.0387,Riverside County,5440,10.6916,Riverside County: 5440; Fresno County: 3402; San Bernardino County: 2256; Merced County: 2006; Los Angeles County: 1858
Des_Tp,48,0.002,UNK,38954,76.559,UNK: 38954; NF: 4577; TRIBL: 1482; WA: 1189; PUB: 698
COMPLEX_NAME,34,99.5598,MODOC JULY COMPLEX,59,0.116,MODOC JULY COMPLEX: 59; ORLEANS COMPLEX: 24; ECLIPSE COMPLEX: 15; RIVER COMPLEX: 13; SALMON AUGUST COMPLEX: 12
ICS_209_PLUS_COMPLEX_JOIN_ID,32,99.5696,2017_7238965_MODOC JULY COMPLEX,55,0.1081,2017_7238965_MODOC JULY COMPLEX: 55; 2017_7382007_ORLEANS COMPLEX: 24; 2017_7396234_ECLIPSE COMPLEX: 15; 2015_2744562_RIVER COMPLEX: 13; 2017_7377619_SALMON AUGUST COMPLEX: 12
Medusahead,27,27.2145,255.0,31490,61.8895,255.0: 31490; 0.0: 1318; 4.0: 585; 1.0: 484; 7.0: 461
Annual_tempreture,26,0.0,291.0,9938,19.5318,291.0: 9938; 292.0: 7407; 290.0: 7007; 289.0: 6403; 288.0: 4287
Mang_Name,25,0.002,UNK,38949,76.5492,UNK: 38949; USFS: 6608; TRIB: 1482; BLM: 1249; NPS: 696
PoaSecunda,20,27.2145,255.0,31490,61.8895,255.0: 31490; 4.0: 1200; 1.0: 1078; 0.0: 827; 3.0: 596
NAME,18,0.1336,Central California Valley,11074,21.7645,Central California Valley: 11074; Southern California Mountains/Northern Baja Coast: 10025; South Central California Foothills and Coastal Mountains: 5675; Northern Sierra Nevada: 4360; Northern Sierran Foothills and Tuscan Flows: 3298
OWNER_DESCR,16,0.0,MISSING/NOT SPECIFIED,35886,70.5293,MISSING/NOT SPECIFIED: 35886; USFS: 6322; PRIVATE: 1577; UNDEFINED FEDERAL: 1305; STATE OR PRIVATE: 1155
Land_Cover,16,0.0,23.0,10777,21.1808,23.0: 10777; 21.0: 10082; 22.0: 8564; 42.0: 6314; 52.0: 5772
TC,14,0.0039,0.0,30559,60.0597,0.0: 30559; 1.0: 5267; 2.0: 4836; 3.0: 3126; 4.0: 2922
NWCG_GENERAL_CAUSE,13,0.0,Missing data/not specified/undetermined,25786,50.679,Missing data/not specified/undetermined: 25786; Debris and open burning: 5233; Equipment and vehicle use: 4948; Natural: 4909; Arson/incendiarism: 4234
GACC_Type 2 IMTs,13,0.1965,0.0,34648,68.0961,0.0: 34648; 1.0: 9922; 2.0: 3607; 3.0: 1724; 4.0: 524
Ecoregion_US_L3CODE,13,0.1336,6.0,12748,25.0545,6.0: 12748; 7.0: 11074; 85.0: 7897; 5.0: 6026; 78.0: 3483
Ecoregion_NA_L3CODE,12,0.1336,11.1.1,20645,40.5751,11.1.1: 20645; 11.1.2: 11074; 6.2.12: 6026; 6.2.11: 3483; 11.1.3: 2128
vpd_Percentile,12,0.1238,50-70%,9574,18.8165,50-70%: 9574; 30-50%: 8116; 80-90%: 6927; 70-80%: 5576; 90-95%: 4299
GACCAbbrev,10,0.1965,OSCC,16325,32.0847,OSCC: 16325; ONCC: 12709; SACC: 10303; SWCC: 3261; EACC: 2991
FRG,10,0.0,1.0,21310,41.882,1.0: 21310; 4.0: 12222; 5.0: 5773; 3.0: 3817; 133.0: 3609
Mang_Type,9,0.002,UNK,38949,76.5492,UNK: 38949; FED: 8983; TRIB: 1482; STAT: 539; LOC: 498
GDP,9,0.0059,55768.438,44290,87.0462,55768.438: 44290; 54876.344: 6471; 15984.907: 51; 45307.1: 18; 48454.027: 17
CC,9,0.0039,0.0,30559,60.0597,0.0: 30559; 1.0: 6774; 2.0: 5401; 3.0: 5073; 4.0: 1794
NWCG_REPORTING_AGENCY,8,0.0,ST/C&L,38960,76.5708,ST/C&L: 38960; FS: 7979; BLM: 1705; BIA: 1203; NPS: 835
GACC_Type 1 IMTs,8,0.1965,0.0,33720,66.2723,0.0: 33720; 1.0: 10688; 2.0: 3215; 3.0: 1768; 4.0: 770
FIRE_YEAR,7,0.0,2017,9537,18.7437,2017: 9537; 2018: 9488; 2016: 7882; 2015: 7354; 2014: 6493
