Column,Feature Group
FOD_ID,Fire Identity
FPA_ID,Other
SOURCE_SYSTEM_TYPE,Fire Identity
SOURCE_SYSTEM,Fire Identity
NWCG_REPORTING_AGENCY,Administrative
NWCG_REPORTING_UNIT_ID,Administrative
NWCG_REPORTING_UNIT_NAME,Administrative
SOURCE_REPORTING_UNIT,Administrative
SOURCE_REPORTING_UNIT_NAME,Administrative
LOCAL_FIRE_REPORT_ID,Fire Identity
LOCAL_INCIDENT_ID,Other
FIRE_CODE,Fire Identity
FIRE_NAME,Fire Identity
ICS_209_PLUS_INCIDENT_JOIN_ID,Fire Identity
ICS_209_PLUS_COMPLEX_JOIN_ID,Fire Identity
MTBS_ID,Fire Identity
MTBS_FIRE_NAME,Fire Identity
COMPLEX_NAME,Other
FIRE_YEAR,Fire Identity
DISCOVERY_DATE,Discovery
DISCOVERY_DOY,Discovery
DISCOVERY_TIME,Discovery
NWCG_CAUSE_CLASSIFICATION,Cause
NWCG_GENERAL_CAUSE,Cause
NWCG_CAUSE_AGE_CATEGORY,Cause
CONT_DATE,Fire Outcome
CONT_DOY,Fire Outcome
CONT_TIME,Fire Outcome
FIRE_SIZE,Fire Outcome
FIRE_SIZE_CLASS,Fire Outcome
LATITUDE,Geographic Coordinates
LONGITUDE,Geographic Coordinates
OWNER_DESCR,Administrative
STATE,Administrative
COUNTY,Administrative
FIPS_CODE,Administrative
FIPS_NAME,Administrative
LatLong_State,Administrative
LatLong_County,Administrative
NPL,Other
Mang_Type,Other
Mang_Name,Other
Des_Tp,Other
GAP_Sts,Other
GAP_Prity,Other
EVH,Other
EVT,Other
EVH_1km,Other
EVT_1km,Other
EVC,Other
EVC_1km,Other
NAME,Other
MOD_NDVI_12m,Vegetation Index
MOD_EVI_12m,Vegetation Index
Land_Cover,Land Cover
Land_Cover_1km,Land Cover
rpms,Other
rpms_1km,Other
Population,Population
Popo_1km,Population
GACCAbbrev,Administrative
GACC_PL,Administrative
GACC_New fire,Administrative
GACC_New LF,Administrative
GACC_Uncont LF,Administrative
GACC_Type 1 IMTs,Administrative
GACC_Type 2 IMTs,Administrative
GACC_NIMO Teams,Administrative
GACC_Area Command Teams,Administrative
GACC_Fire Use Teams,Administrative
GDP,Other
pr_Normal,Other
tmmn_Normal,Other
tmmx_Normal,Other
rmin_Normal,Other
rmax_Normal,Other
sph_Normal,Other
srad_Normal,Other
fm100_Normal,Fire Weather Index
fm1000_Normal,Fire Weather Index
bi_Normal,Fire Weather Index
vpd_Normal,Other
erc_Normal,Fire Weather Index
DF_PFS,Other
AF_PFS,Other
HDF_PFS,Other
DSF_PFS,Other
EBF_PFS,Other
EALR_PFS,Other
EBLR_PFS,Other
EPLR_PFS,Other
HBF_PFS,Other
LLEF_PFS,Other
LIF_PFS,Other
LMI_PFS,Other
MHVF_PFS,Other
PM25F_PFS,Other
HSEF,Other
P100_PFS,Other
P200_PFS,Other
LPF_PFS,Other
NPL_PFS,Other
RMP_PFS,Other
TSDF_PFS,Other
TPF,Other
TF_PFS,Other
UF_PFS,Other
WF_PFS,Other
M_WTR,Other
M_WKFC,Other
M_CLT,Other
M_ENY,Other
M_TRN,Other
M_HSG,Other
M_PLN,Other
M_HLTH,Other
SM_C,Other
SM_PFS,Other
EPLRLI,Other
EALRLI,Other
EBLRLI,Other
PM25LI,Other
EBLI,Other
DPMLI,Other
TPLI,Other
LPMHVLI,Other
HBLI,Other
RMPLI,Other
SFLI,Other
HWLI,Other
WDLI,Other
DLI,Other
ALI,Other
HDLI,Other
LLELI,Other
LILHSE,Other
PLHSE,Other
LMILHSE,Other
ULHSE,Other
EPL_ET,Other
EAL_ET,Other
EBL_ET,Other
EB_ET,Other
PM25_ET,Other
DS_ET,Other
TP_ET,Other
LPP_ET,Other
HB_ET,Other
RMP_ET,Other
NPL_ET,Other
TSDF_ET,Other
WD_ET,Other
DB_ET,Other
A_ET,Other
HD_ET,Other
LLE_ET,Other
